WRI ID,Public Title,Time Slider,Dataset ID,Published,Carto Table,Carto Column,wb_indicators,wb_columns,wb_units
cit.020,Air Quality: Population Exposed to Unhealthy Levels of Fine Particulate Matter (PM2.5),Yes,6d3163f5-4e08-4830-84f1-2c5d76570a82,Publish,cit_020_nat_pop_exposed_high_levels_pm_2_5_edit,yr_data,,,
cit.028,Urban Population Living in Slums,Yes,35ce2b98-adbb-4873-b334-d7b1cc542de7,Publish,cit_028_percent_urban_slums_edit,yr_data,,,
cit.044,Distribution of Consumer Spending by Sector,No,29a3cc91-9bf7-480f-b324-58570d9cd68f,add to script,,,,,
ene.028,Access to Clean Cooking Fuels,Yes,c665f519-eef9-4f67-a8bf-7e3e6dc8bfcd,Publish,ene_028_access_clean_cooking_fuels,yr_data,,,
soc.008,"Gross Domestic Product Per Capita (PPP, Current International $)",Yes,00abb46f-34e2-4bf7-be30-1fb0b1de022f,Publish,soc_008_gdp_per_capita_edit,yr_data,,,
soc.066,Population Below Income Poverty Line ($1.90),Yes,4d7ce999-1e37-418f-b8a6-1816b29e901a,Publish,soc_066_population_below_poverty_line_edit,yr_data,,,
soc.077 (note layers need to be updated with 1999 layer sql),Poverty headcount ratio,Yes,3ebc33cf-c174-4159-a07f-3ee0dc0d6ba9,Publish,soc_077_poverty_headcount_ratio_edit,yr_data,,,
soc.079(note layers need to be updated with 1999 layer sql),Fertility Rates,Yes,80f951a7-edd5-472a-8b46-744eb93fd7ef,Publish,soc_079_total_fertility_rate_edit,total_fertility_rate,,,
soc.090,Population Growth Rates,,missing but has metadata,Yujing,,,,,
soc.103,Household final consumption expenditure per capita,,,delete,,,,,
soc.104,Industry value added,,,delete,,,,,
soc.105,Total natural resources rents,,,delete,,,,,
soc.106,Proportion of women in national parliaments,,,delete,,,,,
soc.107,Employment to population ratio,,,delete,,,,,
soc.108,Net migration,,,delete,,,,,
soc.111,Merchandise imports,,,delete,,,,,
